일시,지역명,방문자수,검색건수,관외 이동량,숙박업소 개수
4,강원특별자치도 속초시,3934776,367930,342350,286
4,강원특별자치도 삼척시,2333215,86329,179828,168
4,강원특별자치도 홍천군,2414748,133746,221436,267
4,강원특별자치도 횡성군,1571720,57332,157732,105
4,강원특별자치도 영월군,1125799,39740,105422,120
4,강원특별자치도 평창군,2064878,128606,152943,275
4,강원특별자치도 정선군,1400968,85300,127464,103
4,강원특별자치도 철원군,1379111,51066,99498,31
4,강원특별자치도 화천군,835680,12445,55852,57
4,강원특별자치도 양구군,736878,9959,35748,21
4,강원특별자치도 인제군,1283085,27700,90450,97
4,강원특별자치도 고성군,1609241,131215,155342,215
4,강원특별자치도 양양군,2056085,161721,183627,349
5,강원특별자치도 춘천시,10161808,364977,510738,339
5,강원특별자치도 원주시,10773063,299076,498387,146
5,강원특별자치도 강릉시,8667471,451671,554688,674
5,강원특별자치도 동해시,3129597,72896,173075,112
5,강원특별자치도 태백시,1474205,28458,69191,21
5,강원특별자치도 속초시,4117245,416354,401921,290
5,강원특별자치도 삼척시,2521327,108069,204663,171
5,강원특별자치도 홍천군,2717602,154113,262237,267
5,강원특별자치도 횡성군,1792059,71506,186258,105
5,강원특별자치도 영월군,1293411,54096,127907,116
5,강원특별자치도 평창군,2420523,165430,205632,274
5,강원특별자치도 정선군,1636018,114172,159437,104
5,강원특별자치도 철원군,1549743,61028,114572,31
5,강원특별자치도 화천군,926535,15552,60885,58
5,강원특별자치도 양구군,824325,15099,45888,21
5,강원특별자치도 인제군,1519774,43668,126545,98
5,강원특별자치도 고성군,1810761,151323,183257,215
5,강원특별자치도 양양군,2293955,192978,219374,356
6,강원특별자치도 춘천시,9784038,359268,622696,350
6,강원특별자치도 원주시,10257942,301636,612370,147
6,강원특별자치도 강릉시,8620919,490236,741591,680
6,강원특별자치도 동해시,3058583,78095,211071,111
6,강원특별자치도 태백시,1497506,28188,88263,22
6,강원특별자치도 속초시,4215585,451653,518255,293
6,강원특별자치도 삼척시,2431209,108531,246044,174
6,강원특별자치도 홍천군,2695712,169032,345853,273
6,강원특별자치도 횡성군,1759371,79214,236699,109
6,강원특별자치도 영월군,1261351,58772,167085,116
6,강원특별자치도 평창군,2427738,184564,265312,273
6,강원특별자치도 정선군,1558537,110640,197207,102
6,강원특별자치도 철원군,1385718,60792,138076,31
6,강원특별자치도 화천군,886637,17110,78163,60
6,강원특별자치도 양구군,798602,13394,53410,21
6,강원특별자치도 인제군,1505903,43059,161509,100
6,강원특별자치도 고성군,1867225,182967,264911,221
6,강원특별자치도 양양군,2349342,229304,304840,363
7,강원특별자치도 춘천시,9730577,348303,488511,356
7,강원특별자치도 원주시,10487323,297097,521019,150
7,강원특별자치도 강릉시,8874142,553646,652368,704
7,강원특별자치도 동해시,3262186,72228,192338,113
7,강원특별자치도 태백시,1624815,39110,96462,22
7,강원특별자치도 속초시,4634845,476335,470245,295
7,강원특별자치도 삼척시,2593341,120460,227778,177
7,강원특별자치도 홍천군,2969209,193348,326408,272
7,강원특별자치도 횡성군,1917632,93260,215237,107
7,강원특별자치도 영월군,1352503,69841,140503,117
7,강원특별자치도 평창군,2738199,230979,257508,274
7,강원특별자치도 정선군,1763096,140859,188985,104
7,강원특별자치도 철원군,1408779,55394,104219,31
7,강원특별자치도 화천군,974341,18125,65829,59
7,강원특별자치도 양구군,814114,12673,44545,22
7,강원특별자치도 인제군,1650684,56220,148422,101
7,강원특별자치도 고성군,2131199,227540,245572,226
7,강원특별자치도 양양군,2636312,296822,292616,370
8,강원특별자치도 춘천시,9891462,396759,607118,360
8,강원특별자치도 원주시,10519686,330934,585946,149
8,강원특별자치도 강릉시,9230127,712664,870031,718
8,강원특별자치도 동해시,3338521,128803,246237,115
8,강원특별자치도 태백시,1679957,62908,126094,22
8,강원특별자치도 속초시,5053362,710853,678716,294
8,강원특별자치도 삼척시,2751270,195660,316104,177
8,강원특별자치도 홍천군,3213275,218486,427359,275
8,강원특별자치도 횡성군,2092457,118032,274499,109
8,강원특별자치도 영월군,1531711,103655,207510,122
8,강원특별자치도 평창군,3093298,300631,374026,268
8,강원특별자치도 정선군,1931138,187646,266390,106
8,강원특별자치도 철원군,1477416,69520,129975,31
8,강원특별자치도 화천군,1213371,23901,81941,58
8,강원특별자치도 양구군,815529,17730,53108,22
8,강원특별자치도 인제군,1870892,74884,229309,102
8,강원특별자치도 고성군,2326749,292919,337829,229
8,강원특별자치도 양양군,2908661,393777,427215,380
9,강원특별자치도 춘천시,9862210,359889,643778,362
9,강원특별자치도 원주시,10659003,292689,622679,149
9,강원특별자치도 강릉시,8443099,481656,659001,720
9,강원특별자치도 동해시,3085581,83422,189355,117
9,강원특별자치도 태백시,1553469,35709,94009,22
9,강원특별자치도 속초시,4177187,419399,414676,292
9,강원특별자치도 삼척시,2530676,122861,241662,178
9,강원특별자치도 홍천군,2787885,157826,306412,279
9,강원특별자치도 횡성군,1830914,86798,214302,109
9,강원특별자치도 영월군,1299626,67350,153718,120
9,강원특별자치도 평창군,2552777,219934,261347,269
9,강원특별자치도 정선군,1643484,123111,181029,107
9,강원특별자치도 철원군,1523445,90548,146848,32
9,강원특별자치도 화천군,971726,17862,71804,58
9,강원특별자치도 양구군,848037,16248,53350,22
9,강원특별자치도 인제군,1587484,49500,154253,103
9,강원특별자치도 고성군,1883111,189707,207021,230
9,강원특별자치도 양양군,2265427,226317,245053,383
10,강원특별자치도 춘천시,10110643,412576,554634,362
10,강원특별자치도 원주시,10872565,346530,537169,152
10,강원특별자치도 강릉시,8668725,499339,576469,728
10,강원특별자치도 동해시,3197497,85760,169528,116
10,강원특별자치도 태백시,1583625,37557,77139,22
10,강원특별자치도 속초시,4724839,488469,458858,296
10,강원특별자치도 삼척시,2472768,116636,194563,178
10,강원특별자치도 홍천군,2841340,179178,283934,279
10,강원특별자치도 횡성군,1948573,96585,209619,108
10,강원특별자치도 영월군,1357705,81402,138000,119
10,강원특별자치도 평창군,2761627,256648,262422,267
10,강원특별자치도 정선군,1724301,134033,175022,107
10,강원특별자치도 철원군,1761235,134477,156706,33
10,강원특별자치도 화천군,949267,18252,63299,57
10,강원특별자치도 양구군,833814,17607,46305,22
10,강원특별자치도 인제군,1949641,83432,178792,104
10,강원특별자치도 고성군,2074759,208939,212608,230
10,강원특별자치도 양양군,2591573,239464,267006,386
11,강원특별자치도 춘천시,9499315,280974,573244,369
11,강원특별자치도 원주시,10368568,268926,607634,152
11,강원특별자치도 강릉시,7928864,357458,589250,730
11,강원특별자치도 동해시,2853682,54306,177743,113
11,강원특별자치도 태백시,1409418,17441,73626,22
11,강원특별자치도 속초시,3834911,328551,437499,294
11,강원특별자치도 삼척시,2233169,68610,201746,179
11,강원특별자치도 홍천군,2405558,114338,268878,282
11,강원특별자치도 횡성군,1545511,57013,193230,111
11,강원특별자치도 영월군,1091896,35393,124551,118
11,강원특별자치도 평창군,2029625,136420,213778,270
11,강원특별자치도 정선군,1398763,80887,164534,108
11,강원특별자치도 철원군,1270923,44708,115371,34
11,강원특별자치도 화천군,844167,10047,64900,58
11,강원특별자치도 양구군,773411,13116,51280,22
11,강원특별자치도 인제군,1288832,34083,122489,107
11,강원특별자치도 고성군,1530444,110982,183130,229
11,강원특별자치도 양양군,1821441,126792,209472,383
12,강원특별자치도 춘천시,9508170,263394,423171,373
12,강원특별자치도 원주시,10449383,245796,468760,152
12,강원특별자치도 강릉시,8315581,469415,544089,734
12,강원특별자치도 동해시,2960377,61963,146147,114
12,강원특별자치도 태백시,1442036,23187,67597,22
12,강원특별자치도 속초시,4148135,448441,410098,296
12,강원특별자치도 삼척시,2213172,74701,155301,181
12,강원특별자치도 홍천군,2547185,134508,233165,282
12,강원특별자치도 횡성군,1585295,57094,160511,112
12,강원특별자치도 영월군,1091444,29480,85288,118
12,강원특별자치도 평창군,2425155,209523,232064,269
12,강원특별자치도 정선군,1578288,107293,162039,106
12,강원특별자치도 철원군,1283590,33327,72499,34
12,강원특별자치도 화천군,810744,8445,43351,58
12,강원특별자치도 양구군,748479,5581,27496,23
12,강원특별자치도 인제군,1375253,33800,89851,107
12,강원특별자치도 고성군,1721786,130089,148751,235
12,강원특별자치도 양양군,1852368,148000,165405,390
1,경상남도 창원시 의창구,6539494,97127,773627,81
1,경상남도 창원시 성산구,7692335,124395,803433,93
1,경상남도 창원시 마산합포구,5368131,73922,497432,69
1,경상남도 창원시 진해구,4286402,72903,349600,50
1,경상남도 진주시,7187270,113199,487058,112
1,경상남도 통영시,3617723,104061,292138,313
1,경상남도 사천시,3115532,69079,291633,103
1,경상남도 김해시,12699510,221763,865498,134
1,경상남도 밀양시,3054460,55326,240337,82
1,경상남도 거제시,8847929,171049,355875,537
1,경상남도 양산시,8943244,165308,675763,123
1,경상남도 의령군,806798,8779,71188,7
1,경상남도 함안군,2026876,14859,238889,10
1,경상남도 창녕군,1763322,28982,179450,27
1,경상남도 고성군,1604710,22166,161873,53
1,경상남도 남해군,1413065,56832,139776,343
1,경상남도 하동군,1071257,21596,120241,84
1,경상남도 산청군,987755,12699,123509,74
1,경상남도 함양군,1123776,10120,81821,22
1,경상남도 거창군,1645819,18902,103520,34
1,경상남도 합천군,1246260,17678,103925,41
2,경상남도 창원시 의창구,5893059,90367,763821,81
2,경상남도 창원시 성산구,6929803,122033,806357,92
2,경상남도 창원시 마산합포구,4684603,68136,462083,68
2,경상남도 창원시 진해구,3840949,69964,328391,49
2,경상남도 진주시,6362789,110783,414795,112
2,경상남도 통영시,3241177,110036,270019,313
2,경상남도 사천시,2753324,67912,266772,103
2,경상남도 김해시,11426150,220944,835249,134
2,경상남도 밀양시,2684220,54406,211757,83
2,경상남도 거제시,8056175,170425,343459,545
2,경상남도 양산시,8152372,167456,652044,126
2,경상남도 의령군,709749,10354,62830,7
2,경상남도 함안군,1818300,15573,228334,10
2,경상남도 창녕군,1533188,25898,156556,28
2,경상남도 고성군,1418224,20618,144906,52
2,경상남도 남해군,1228934,60855,122952,350
2,경상남도 하동군,965977,24509,106394,81
2,경상남도 산청군,835863,12950,103823,72
2,경상남도 함양군,974634,7005,58189,23
2,경상남도 거창군,1423926,15355,74675,34
2,경상남도 합천군,1042437,18381,81284,42
3,경상남도 창원시 의창구,6898337,103120,807533,81
3,경상남도 창원시 성산구,7896617,140734,803054,92
3,경상남도 창원시 마산합포구,5601505,83601,507600,68
3,경상남도 창원시 진해구,4997051,147371,443909,53
3,경상남도 진주시,7667747,122956,464420,115
3,경상남도 통영시,3702734,96727,268385,309
3,경상남도 사천시,3300650,80109,290266,102
3,경상남도 김해시,13280166,252365,873940,135
3,경상남도 밀양시,3306286,73127,249049,82
3,경상남도 거제시,9116285,162491,318517,550
3,경상남도 양산시,9423195,206809,680008,124
3,경상남도 의령군,835912,12225,74436,7
3,경상남도 함안군,2146239,19137,248977,10
3,경상남도 창녕군,1833434,32447,179710,29
3,경상남도 고성군,1667314,25936,162782,50
3,경상남도 남해군,1463902,67641,145494,349
3,경상남도 하동군,1790868,97628,227357,80
3,경상남도 산청군,1010495,17050,119762,73
3,경상남도 함양군,1148632,9984,68535,23
3,경상남도 거창군,1642266,17285,82952,34
3,경상남도 합천군,1266007,24380,105321,41
4,경상남도 창원시 의창구,6453567,101090,799510,80
4,경상남도 창원시 성산구,7319418,135025,813038,91
4,경상남도 창원시 마산합포구,5200382,82793,494740,71
4,경상남도 창원시 진해구,4351547,98160,342913,53
4,경상남도 진주시,6972336,125765,410319,119
4,경상남도 통영시,3563543,107570,261439,338
4,경상남도 사천시,3344838,87137,299712,109
4,경상남도 김해시,12535787,256563,859658,138
4,경상남도 밀양시,3205047,81742,246079,99
4,경상남도 거제시,8752933,176275,336870,593
4,경상남도 양산시,8686836,173975,637595,130
4,경상남도 의령군,896524,14639,82410,8
4,경상남도 함안군,2169454,21299,256483,10
4,경상남도 창녕군,2046092,47404,209049,30
4,경상남도 고성군,1657851,27724,165236,51
4,경상남도 남해군,1516045,85990,150188,392
4,경상남도 하동군,1355065,57499,141565,86
4,경상남도 산청군,1134488,28763,148486,93
4,경상남도 함양군,1213325,13645,76735,26
4,경상남도 거창군,1630002,22190,89557,37
4,경상남도 합천군,1398654,32689,118357,48
5,경상남도 창원시 의창구,6884081,105380,812418,83
5,경상남도 창원시 성산구,7803470,144495,816168,93
5,경상남도 창원시 마산합포구,5614766,85693,515557,71
5,경상남도 창원시 진해구,4432447,85050,342444,54
5,경상남도 진주시,7585360,136710,437926,119
5,경상남도 통영시,3747563,110053,294218,342
5,경상남도 사천시,3369644,81961,301071,108
5,경상남도 김해시,13363220,263602,881482,136
5,경상남도 밀양시,3474394,82020,272518,101
5,경상남도 거제시,9252325,180100,367272,601
5,경상남도 양산시,9327484,186828,660280,134
5,경상남도 의령군,908939,14841,82885,8
5,경상남도 함안군,2391603,49463,292724,11
5,경상남도 창녕군,1941756,32085,193717,30
5,경상남도 고성군,1728862,29210,172356,50
5,경상남도 남해군,1576788,82537,166784,395
5,경상남도 하동군,1412472,51879,163358,86
5,경상남도 산청군,1206433,29727,157138,92
5,경상남도 함양군,1333332,17563,90684,26
5,경상남도 거창군,1751375,23703,103449,38
5,경상남도 합천군,1483558,33845,138389,47
6,경상남도 창원시 의창구,6422665,99504,991212,83
6,경상남도 창원시 성산구,7514122,138415,1038075,94
6,경상남도 창원시 마산합포구,5336713,80718,630395,73
6,경상남도 창원시 진해구,4314840,84986,436058,55
6,경상남도 진주시,7117560,127331,537257,120
6,경상남도 통영시,3516877,111154,373382,341
6,경상남도 사천시,3135386,78746,358479,109
6,경상남도 김해시,12669242,259965,1111902,138
6,경상남도 밀양시,3176854,75561,313062,104
6,경상남도 거제시,9098313,198176,483464,608
6,경상남도 양산시,8889360,181433,818936,134
6,경상남도 의령군,800826,12887,93255,8
6,경상남도 함안군,1956771,21945,318496,11
6,경상남도 창녕군,1784769,26209,216227,31
6,경상남도 고성군,1667655,37251,221563,51
6,경상남도 남해군,1454688,75895,184531,397
6,경상남도 하동군,1154965,39465,160350,85
6,경상남도 산청군,1075875,28836,179738,93
6,경상남도 함양군,1253586,17151,107449,27
6,경상남도 거창군,1654851,22131,117713,38
6,경상남도 합천군,1289523,23983,132514,48
7,경상남도 창원시 의창구,6459873,101042,827139,84
7,경상남도 창원시 성산구,7630195,142130,876042,94
7,경상남도 창원시 마산합포구,5385143,84646,497277,77
7,경상남도 창원시 진해구,4369420,84414,362974,55
7,경상남도 진주시,7091498,129247,451801,120
7,경상남도 통영시,3552244,115281,292755,341
7,경상남도 사천시,3236200,84773,309996,111
7,경상남도 김해시,12852780,279135,938441,142
7,경상남도 밀양시,3182234,77909,249349,107
7,경상남도 거제시,9421744,209746,404617,612
7,경상남도 양산시,9005059,193289,673149,134
7,경상남도 의령군,775731,12145,68404,8
7,경상남도 함안군,1978631,23214,273663,11
7,경상남도 창녕군,1709645,24895,163443,31
7,경상남도 고성군,1671513,32748,174047,53
7,경상남도 남해군,1540363,76976,148059,399
7,경상남도 하동군,1117606,34753,123159,87
7,경상남도 산청군,1138056,34987,155503,94
7,경상남도 함양군,1288387,18872,93547,27
7,경상남도 거창군,1685568,24401,100539,40
7,경상남도 합천군,1250585,24949,102739,47
8,경상남도 창원시 의창구,6384091,103965,790142,85
8,경상남도 창원시 성산구,7453982,137553,815957,93
8,경상남도 창원시 마산합포구,5422543,97660,526735,77
8,경상남도 창원시 진해구,4300548,84879,354510,56
8,경상남도 진주시,7082489,134206,474218,120
8,경상남도 통영시,3619983,155013,372759,342
8,경상남도 사천시,3359998,106339,353607,116
8,경상남도 김해시,12797068,294305,940349,140
8,경상남도 밀양시,3349956,102498,317259,109
8,경상남도 거제시,9412845,267059,518004,619
8,경상남도 양산시,9123187,217528,710091,136
8,경상남도 의령군,785467,15448,77672,8
8,경상남도 함안군,1943985,21226,262112,11
8,경상남도 창녕군,1679731,29560,174819,31
8,경상남도 고성군,1662034,35796,194051,52
8,경상남도 남해군,1636341,111303,218236,406
8,경상남도 하동군,1280025,54982,174557,89
8,경상남도 산청군,1326308,51547,229658,96
8,경상남도 함양군,1433214,27749,132467,28
8,경상남도 거창군,1778456,34823,134939,40
8,경상남도 합천군,1281137,27529,121213,48
9,경상남도 창원시 의창구,6600187,108741,867604,85
9,경상남도 창원시 성산구,7465483,144065,881319,93
9,경상남도 창원시 마산합포구,5461429,98726,596387,78
9,경상남도 창원시 진해구,4151888,87327,383295,56
9,경상남도 진주시,7283901,132257,571569,119
9,경상남도 통영시,3575648,110403,339509,343
9,경상남도 사천시,3104406,93026,362362,116
9,경상남도 김해시,12656026,266779,993213,143
9,경상남도 밀양시,3295646,80075,305894,109
9,경상남도 거제시,8891376,197584,413374,618
9,경상남도 양산시,9060612,198390,727276,135
9,경상남도 의령군,898212,19067,104765,8
9,경상남도 함안군,1988853,26616,304570,12
9,경상남도 창녕군,1831162,31985,214590,31
9,경상남도 고성군,1806596,39717,222984,52
9,경상남도 남해군,1572799,75940,186629,411
9,경상남도 하동군,1224350,43283,165952,88
9,경상남도 산청군,1224190,39529,193257,92
9,경상남도 함양군,1377566,23758,124583,28
9,경상남도 거창군,1801853,34578,142546,40
9,경상남도 합천군,1393562,32616,155441,49
10,경상남도 창원시 의창구,6746559,125464,844168,86
10,경상남도 창원시 성산구,7611913,146175,862130,93
10,경상남도 창원시 마산합포구,5475033,119567,551238,79
10,경상남도 창원시 진해구,4234375,90332,369337,57
10,경상남도 진주시,7525454,178575,536579,120
10,경상남도 통영시,3926381,131868,330048,344
10,경상남도 사천시,3145596,97267,325778,115
10,경상남도 김해시,12917403,292909,938214,142
10,경상남도 밀양시,3448574,105469,285276,107
10,경상남도 거제시,9298014,212810,390113,617
10,경상남도 양산시,9319630,230859,693651,137
10,경상남도 의령군,952975,31001,101783,8
10,경상남도 함안군,2144733,44877,292282,12
10,경상남도 창녕군,1912933,39220,193151,31
10,경상남도 고성군,1896937,56529,211019,52
10,경상남도 남해군,1631157,87998,163187,406
10,경상남도 하동군,1330185,66307,151871,86
10,경상남도 산청군,1342819,49915,177991,96
10,경상남도 함양군,1418167,25547,99021,28
10,경상남도 거창군,1866690,59979,123768,40
10,경상남도 합천군,1518584,70067,159454,49
11,경상남도 창원시 의창구,6565311,107327,1062151,86
11,경상남도 창원시 성산구,7459040,141945,1105505,92
11,경상남도 창원시 마산합포구,5283742,91425,670650,78
11,경상남도 창원시 진해구,4043354,83301,454911,58
11,경상남도 진주시,7072357,120649,562973,118
11,경상남도 통영시,3537083,91965,348037,345
11,경상남도 사천시,2957151,76750,378471,117
11,경상남도 김해시,12320326,245077,1139045,142
11,경상남도 밀양시,3188337,88241,333520,106
11,경상남도 거제시,8678246,145458,409412,621
11,경상남도 양산시,8823493,190773,828346,137
11,경상남도 의령군,852740,14692,105442,8
11,경상남도 함안군,2017439,24872,337642,12
11,경상남도 창녕군,1744891,30053,222857,32
11,경상남도 고성군,1615071,25885,210186,52
11,경상남도 남해군,1360953,47154,155284,409
11,경상남도 하동군,1129590,38907,162105,89
11,경상남도 산청군,1054613,21905,171651,98
11,경상남도 함양군,1242699,15984,109901,28
11,경상남도 거창군,1644060,26077,121605,42
11,경상남도 합천군,1212115,26077,140703,49
12,경상남도 창원시 의창구,6229230,119066,839362,86
12,경상남도 창원시 성산구,7328429,163644,889322,93
12,경상남도 창원시 마산합포구,5300386,98357,535209,77
12,경상남도 창원시 진해구,4035662,94165,366844,58
12,경상남도 진주시,6994377,131183,463896,119
12,경상남도 통영시,3513067,112314,282883,345
12,경상남도 사천시,2875621,81747,298026,116
12,경상남도 김해시,12209736,273533,916768,141
12,경상남도 밀양시,2951462,62717,226903,106
12,경상남도 거제시,8783672,178048,351659,621
12,경상남도 양산시,8664920,190151,657958,137
12,경상남도 의령군,769660,12144,71088,8
12,경상남도 함안군,1752667,16647,242091,12
12,경상남도 창녕군,1640632,28526,164176,32
12,경상남도 고성군,1524082,23396,156718,51
12,경상남도 남해군,1324624,59345,129431,413
12,경상남도 하동군,960802,22249,108742,90
12,경상남도 산청군,905582,13615,112614,101
12,경상남도 함양군,1057771,9031,69050,28
12,경상남도 거창군,1539091,18223,82978,41
12,경상남도 합천군,1071261,17126,86607,49
1,경상북도 경주시,9008556,389778,814516,719
1,경상북도 김천시,3407871,51430,251009,56
1,경상북도 안동시,5087902,67731,286116,139
1,경상북도 구미시,8586073,127254,555667,116
1,경상북도 영주시,2876123,35088,161361,47
1,경상북도 영천시,2662944,34132,252619,31
1,경상북도 상주시,2932176,26485,204963,34
1,경상북도 문경시,1946995,35157,177780,66
1,경상북도 경산시,7447024,77228,566117,47
1,경상북도 의성군,1432079,8477,109000,8
1,경상북도 청송군,895795,18454,67430,15
1,경상북도 영양군,382293,1076,26913,2
1,경상북도 영덕군,1676189,57369,136511,117
1,경상북도 청도군,1554870,42736,178655,69
1,경상북도 고령군,925203,8043,110003,2
1,경상북도 성주군,1376034,8152,150586,43
1,경상북도 칠곡군,3228911,49013,393584,33
1,경상북도 예천군,1593780,13806,111524,8
1,경상북도 봉화군,745026,7845,68773,15
1,경상북도 울진군,1711689,61067,128360,71
1,경상북도 울릉군,215492,460,5636,33
2,경상북도 경주시,8293409,439369,857668,716
2,경상북도 김천시,3058822,51384,217749,57
2,경상북도 안동시,4541121,66403,237335,140
2,경상북도 구미시,7860530,127237,521468,116
2,경상북도 영주시,2507780,30964,119266,49
2,경상북도 영천시,2348954,34464,223938,33
2,경상북도 상주시,2572199,23503,161676,34
2,경상북도 문경시,1668125,39724,147282,68
2,경상북도 경산시,6908675,77324,569861,48
2,경상북도 의성군,1223508,8887,86089,8
2,경상북도 청송군,748919,14507,55331,15
2,경상북도 영양군,331609,1113,18410,2
2,경상북도 영덕군,1519598,66784,143213,117
2,경상북도 청도군,1479777,52031,183804,72
2,경상북도 고령군,861455,10854,106986,2
2,경상북도 성주군,1245690,9205,134912,44
2,경상북도 칠곡군,2931320,49246,383858,33
2,경상북도 예천군,1380832,14377,90739,8
2,경상북도 봉화군,622122,6302,55709,15
2,경상북도 울진군,1537686,68770,124186,70
2,경상북도 울릉군,222362,897,8427,33
3,경상북도 경주시,9576610,485078,914655,719
3,경상북도 김천시,3661258,76232,282465,57
3,경상북도 안동시,5365184,71804,270612,140
3,경상북도 구미시,9086371,154638,565870,118
3,경상북도 영주시,2969386,33845,144384,48
3,경상북도 영천시,2688080,45743,250346,33
3,경상북도 상주시,2955023,31127,195256,34
3,경상북도 문경시,1954701,45034,166283,67
3,경상북도 경산시,8739139,93685,781331,48
3,경상북도 의성군,1516813,13577,108415,8
3,경상북도 청송군,873780,9306,55169,15
3,경상북도 영양군,407604,1124,21612,2
3,경상북도 영덕군,1577952,42898,114237,121
3,경상북도 청도군,1625549,60401,197674,72
3,경상북도 고령군,1012815,14664,129487,2
3,경상북도 성주군,1427288,13591,157197,44
3,경상북도 칠곡군,3401199,59109,407419,33
3,경상북도 예천군,1619714,17511,102569,8
3,경상북도 봉화군,747199,7169,62646,16
3,경상북도 울진군,1721433,51298,110134,71
3,경상북도 울릉군,334096,3004,22330,32
4,경상북도 경주시,9409133,538829,873810,790
4,경상북도 김천시,3562081,70192,249704,60
4,경상북도 안동시,5009312,90564,256773,148
4,경상북도 구미시,8471610,148555,535892,119
4,경상북도 영주시,2815644,39791,132615,52
4,경상북도 영천시,2596203,47868,245818,36
4,경상북도 상주시,2873219,36436,191114,36
4,경상북도 문경시,1998748,57147,173790,77
4,경상북도 경산시,7404708,92019,654847,50
4,경상북도 의성군,1458560,13586,102773,9
4,경상북도 청송군,880372,12717,60622,18
4,경상북도 영양군,401497,1666,24259,2
4,경상북도 영덕군,1595624,27236,119920,140
4,경상북도 청도군,1547766,57072,187335,78
4,경상북도 고령군,1038108,17119,123985,2
4,경상북도 성주군,1424783,12630,160437,52
4,경상북도 칠곡군,3330057,56906,414416,34
4,경상북도 예천군,1590471,21580,113390,10
4,경상북도 봉화군,755939,10030,68675,18
4,경상북도 울진군,1711762,47304,124975,79
4,경상북도 울릉군,393952,6742,39929,35
5,경상북도 경주시,9749753,495333,910744,802
5,경상북도 김천시,3775205,70828,275763,62
5,경상북도 안동시,5467818,92079,280907,146
5,경상북도 구미시,9086865,149384,546512,126
5,경상북도 영주시,3116249,49364,159816,51
5,경상북도 영천시,2873623,52630,282397,36
5,경상북도 상주시,3146075,37485,211602,36
5,경상북도 문경시,2255292,65144,201439,77
5,경상북도 경산시,8435618,98426,672645,51
5,경상북도 의성군,1620125,16645,120915,9
5,경상북도 청송군,961792,13348,67648,18
5,경상북도 영양군,480751,2612,32189,2
5,경상북도 영덕군,1679927,30417,132194,140
5,경상북도 청도군,1591570,56159,203074,77
